village_id,name,population,latitude,longitude
97,Dorepalle,1608,16.8728164,77.6510942
98,Damla Thanda,532,16.8653093,77.635857
99,Chapencheruvu Thanda,775,16.8732199,77.6278081
100,Chintaldinne,1679,16.8849456,77.6206107
101,Bheempuram,2298,16.8541303,77.5976009
102,Pedripahad,1863,16.8254236,77.5840828
103,Gattireddipalle,1316,16.8707252,77.5399514
104,Ausalonipalle,1634,16.8748153,77.5357552
105,Bapanpalle,1615,16.8290406,77.5224432
106,Kandanpalle,1665,16.853857,77.5227442
107,Kyatanpalle,1738,16.8375356,77.5351602
108,Yelsanpalle,900,16.8584754,77.5459386
109,Desaipalle,465,16.8424839,77.57205
110,Chakalvaripally,952,16.8553057,77.5501355
111,Mustaipeta,905,16.8406127,77.5645341
112,Ayyawaripalle,354,16.8416864,77.5789018
113,Nagireddipalle Thanda,476,16.8916151,77.5948398
114,Laxmipur,2290,16.8849306,77.5564868
115,Damaganpuram,603,16.8895377,77.5783899
116,Ashanpalle,1136,16.8748558,77.557346
117,Kajipuram,2218,16.8775564,77.5782618
118,Nagampalle,2075,16.8729761,77.5993525
119,Hanmyanaik Thanda,841,16.8951386,77.6507516
120,Jadavarao Palle,1253,16.8975054,77.6408265
121,Chandranaik Thanda,948,16.906518,77.6063125
122,Pallerla,1862,16.911193,77.6162039
123,Nandipahad,1323,16.9341809,77.6368008
124,Lakkaipalle,445,16.9298209,77.6205293
125,Lakkaipally Thanda,1798,16.9396888,77.6218683
126,Bolwani Pall Thanda,792,16.9588672,77.6326688
127,Mirzapur,1666,16.9529132,77.6626558
128,Danama Thanda,2179,16.9280226,77.6565013
129,Voddukinidi Thanda,944,16.9192271,77.6610654
130,Chintagattu Thanda,385,16.9350257,77.6694455
131,Balabhadraipalle,1578,16.9225279,77.674519
132,Bhogaram,771,16.9372539,77.7064419
133,Bhakthimalla,2101,16.9285504,77.6992825
134,Bijjaram,1503,16.9651601,77.6818944
135,Masai Pally,1780,16.9714923,77.7124707
136,Chennaram,1748,16.9736663,77.6884417
137,Bandargadda,2041,16.9563709,77.6838645
138,Kadampalle,1939,16.9612265,77.7008324
139,Narva,1402,16.4779215,77.6770305
140,Aminpur,2092,16.6613242,77.44017
141,Unnamed Settlement,2163,16.6726198,77.4735635
142,Kunsi,2399,16.4479188,77.3575044
143,Hindupur,1435,16.4140033,77.3469323
144,Gudebellur,1290,16.4160796,77.3863327
145,Ainapura,1139,16.4720674,77.283926
146,Tangadigi,1113,16.4296844,77.3010921
147,Someshwarabanda,1986,16.5791822,77.4707043
148,Nagireddipalle,1481,16.5912487,77.4728769
